codigo;descrição;NCM
1;"Tributado; CST Entrada 50; CST Saida 01";01012100
1;"Tributado; CST Entrada 50; CST Saida 01";01012900
1;"Tributado; CST Entrada 50; CST Saida 01";01013000
1;"Tributado; CST Entrada 50; CST Saida 01";01019000
1;"Tributado; CST Entrada 50; CST Saida 01";01022110
1;"Tributado; CST Entrada 50; CST Saida 01";01022190
1;"Tributado; CST Entrada 50; CST Saida 01";01022911
1;"Tributado; CST Entrada 50; CST Saida 01";01022919
1;"Tributado; CST Entrada 50; CST Saida 01";01022990
1;"Tributado; CST Entrada 50; CST Saida 01";01023110
1;"Tributado; CST Entrada 50; CST Saida 01";01023190
1;"Tributado; CST Entrada 50; CST Saida 01";01023911
1;"Tributado; CST Entrada 50; CST Saida 01";01023919
1;"Tributado; CST Entrada 50; CST Saida 01";01023990
1;"Tributado; CST Entrada 50; CST Saida 01";01029000
1;"Tributado; CST Entrada 50; CST Saida 01";01031000
1;"Tributado; CST Entrada 50; CST Saida 01";01039100
1;"Tributado; CST Entrada 50; CST Saida 01";01039200
1;"Tributado; CST Entrada 50; CST Saida 01";01041011
1;"Tributado; CST Entrada 50; CST Saida 01";01041019
1;"Tributado; CST Entrada 50; CST Saida 01";01041090
1;"Tributado; CST Entrada 50; CST Saida 01";01042010
1;"Tributado; CST Entrada 50; CST Saida 01";01042090
1;"Tributado; CST Entrada 50; CST Saida 01";01051110
1;"Tributado; CST Entrada 50; CST Saida 01";01051190
1;"Tributado; CST Entrada 50; CST Saida 01";01051200
1;"Tributado; CST Entrada 50; CST Saida 01";01051300
1;"Tributado; CST Entrada 50; CST Saida 01";01051400
1;"Tributado; CST Entrada 50; CST Saida 01";01051500
1;"Tributado; CST Entrada 50; CST Saida 01";01059400
1;"Tributado; CST Entrada 50; CST Saida 01";01059900
1;"Tributado; CST Entrada 50; CST Saida 01";01061100
1;"Tributado; CST Entrada 50; CST Saida 01";01061200
1;"Tributado; CST Entrada 50; CST Saida 01";01061300
1;"Tributado; CST Entrada 50; CST Saida 01";01061400
1;"Tributado; CST Entrada 50; CST Saida 01";01061900
1;"Tributado; CST Entrada 50; CST Saida 01";01062000
1;"Tributado; CST Entrada 50; CST Saida 01";01063100
1;"Tributado; CST Entrada 50; CST Saida 01";01063200
1;"Tributado; CST Entrada 50; CST Saida 01";01063310
1;"Tributado; CST Entrada 50; CST Saida 01";01063390
1;"Tributado; CST Entrada 50; CST Saida 01";01063900
1;"Tributado; CST Entrada 50; CST Saida 01";01064100
1;"Tributado; CST Entrada 50; CST Saida 01";01064900
1;"Tributado; CST Entrada 50; CST Saida 01";01069000
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02011000
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02012010
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02012020
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02012090
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02013000
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02021000
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02022010
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02022020
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02022090
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02023000
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02031100
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02031200
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02031900
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02032100
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02032200
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02032900
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02041000
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02042100
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02042200
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02042300
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02043000
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02044100
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02044200
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02044300
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02045000
1;"Tributado; CST Entrada 50; CST Saida 01";02050000
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02061000
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02062100
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02062200
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02062910
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02062990
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02063000
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02064100
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02064900
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02068000
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02069000
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02071100
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02071210
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02071220
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02071300
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02071400
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02071411
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02071412
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02071413
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02071419
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02071421
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02071422
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02071423
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02071424
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02071429
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02071431
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02071432
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02071433
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02071434
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02071439
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02072400
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02072500
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02072600
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02072700
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02074100
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02074200
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02074300
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02074400
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02074500
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02075100
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02075200
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02075300
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02075400
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02075500
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02076000
1;"Tributado; CST Entrada 50; CST Saida 01";02081000
1;"Tributado; CST Entrada 50; CST Saida 01";02083000
1;"Tributado; CST Entrada 50; CST Saida 01";02084000
1;"Tributado; CST Entrada 50; CST Saida 01";02085000
1;"Tributado; CST Entrada 50; CST Saida 01";02086000
1;"Tributado; CST Entrada 50; CST Saida 01";02089000
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02091011
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02091019
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02091021
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02091029
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02099000
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02101100
1;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02101200
1;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02101900
1;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02102000
1;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02109100
1;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02109200
1;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02109300
1;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02109911
1;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02109919
1;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02109920
1;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02109930
1;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02109940
